"0,""TERROR,AFRAID,SCARE,FRIGHT"""
"1,""BOYS,GUYS,JERK"""
"65,""HARDY,HUNGRY,MEAL"""
"66,""STATUS,PLACE,RANK"""
"67,""LONELY,DEPRESSED,UPSET,SAD,ALONE,BORED"""
"68,""PAY,PRICE,COST,EXPENSE"""
"69,""PASTURE,GREEN,MEADOW,AGRICULTURE"""
"70,""IMPRESSION,APPEARANCE,LOOKS"""
"71,""VOYAGE,SUB,SAILING,SUBMARINE,HARBOR,SAIL,YACHT,BAY,DOCK,SINKER,CRUISE,PEER,STARBOARD,SHIP,PIER,PORT,BOAT"""
"72,""HESITATE,PATIENCE,WAIT"""
"73,""LEAVE,ASCEND,ASCENT,DESCEND"""
"74,""CURVED,SHAPE,CURVE"""
"75,""SECLUDED,AWAY,WITHDRAWN"""
"76,""RESPONSIBLE,ADULT,MATURE"""
"77,""LIVING ROOM,COZY,SIT,SOFA,COMFORT,COUCH,PADDING,HAMMOCK,CUSHION,BEDROOM,CHAIR,SEAT,RECLINER,FURNITURE"""
"78,""BALLERINA,BALLET,SLIPPERS"""
"79,""CIRCLE,ROUND,CYCLE"""
"80,""FOOD,FRIES,MCDONALD'S"""
"81,""PLEASE,MANNERS,POLITE"""
"82,""ARENA,CONCERT,STADIUM"""
"83,""BRAIN,MIND,MENTAL"""
"84,""COURT,GUILT,GUILTY,INNOCENT,INNOCENCE"""
"85,""BUILDER,BUILD,CARPENTER"""
"86,""FORWARD,ADVANCE,BEYOND,AHEAD,FURTHER"""
"87,""SELL,PURCHASE,BUY,RECEIPT,SALE,MALL,CLOTHES"""
"88,""WHOM,YOU,WHO"""
"89,""ROSE,FLOWER,BEAUTY"""
"90,""ESTIMATE,INSURANCE,APPRAISE"""
"91,""GLANCE,OBSERVE,PREVIEW,VIEW"""
"92,""TEA,COFFEE,CAFFEINE"""
"93,""BAD,WORTHLESS,USELESS"""
"94,""GROSS,ZIT,PIMPLE"""
"95,""GRIP,GRASP,KNUCKLE,FIST,HAND"""
"96,""WAG,WIGGLE,MOVE"""
"97,""VICTOR,VICTORY,LOSE,DEFEAT"""
"98,""QUIT,BEGIN,FINISH,ENDING,START,DONE,ADJOURN,FINAL"""
"99,""AWFUL,GREAT,TERRIBLE"""
"100,""KING,QUEEN,OLIGARCHY,MONARCHY,CROWN,DYNASTY,DICTATOR,MONARCH,EMPIRE,EMPEROR,LEADER,ANARCHY"""
"101,""JUNK,TRASH,GARBAGE,DUMP"""
"102,""BUILDING,DEMOLISH,DESTROY"""
"103,""CIGARETTE,DRAG,SMOKE"""
"104,""CAB,CITY,BUS"""
"105,""BOX,MAIL,PARCEL"""
"106,""CANVASS,CANVAS,TENT"""
"107,""TOWN,CITY,PROVIDENCE,COUNTRY,REGION,COUNTY,SUBURB,RURAL,LOCAL"""
"108,""MONEY,PROPOSAL,CONTRACT"""
"109,""EXPLANATION,TEACH,EXPLAIN"""
"110,""ROPE,CLIMB,LADDER"""
"111,""PATRIOTIC,FREEDOM,FLAG,AMERICA,USA"""
"112,""POLITICIAN,DIRTY,CONGRESS"""
"113,""CARING,GENTLE,KIND,NICE"""
"114,""MILITARY,GENERAL,COMMAND,OFFICER,ARMY"""
"115,""STARVE,SKINNY,HUNGRY,THIN,HUNGER"""
"116,""STRAY,WANDER,LOST,ROAM"""
"117,""CERTAIN,SURE,DOUBT,KNOW"""
"118,""DRY,MOIST,DAMP,HUMID"""
"119,""JUMP,LEAP,UP"""
"120,""BURIAL,MEMORIAL,CASKET,CORPSE,CEMETERY,COFFIN,TOMBSTONE,TOMB,BURY,FUNERAL,GRAVE"""
"121,""LIE,FALSE,BLUFF,FAKE"""
"122,""CARDS,GAME,POKER"""
"123,""WIN,OUT FOX"""
"124,""MONKEY,PRIMATE,TARZAN,HUMAN,MAN,APE"""
"125,""BEAT,MIX,BLEND"""
"126,""TELEVISION,ENTERTAIN,ENTERTAINMENT"""
"127,""DISCIPLINE,PUNISH,SCOLD,SPANK,REPRIMAND,WHIP"""
"128,""FAIRYTALE,NOVEL,FICTION"""
"129,""SHOP,MONEY,SHOPPING"""
"130,""FOOTBALL,BASEBALL,SPIKE"""
"131,""FUEL,CAR,PETROLEUM"""
"132,""RATE,COST,PRICE"""
"133,""ATTIC,CELLAR,BASEMENT"""
"134,""CAR,TRAVEL,TRIP"""
"135,""BEAUTIFUL,GIRLS,PRETTY"""
"136,""COUNTY,PROVIDENCE,STATE,LOCAL,REGION"""
"137,""ALLIGATOR,CROCODILE,TEETH"""
"138,""SHINE,FOREHEAD,BALD"""
"139,""JACKET,SHIRT,COAT,JEANS,POCKET,PANTS"""
"140,""ART,ARTIST,CREATIVITY,CREATIVE,PAINTING,DRAWING"""
"141,""APPEAL,LAW,COURT,GUILTY,PLEAD"""
"142,""DISCIPLINE,PUNISHMENT,SPANK,REPRIMAND"""
"143,""JUICE,FRUIT,BLEND,BLENDER"""
"144,""WORST,TERRIBLE,SAD"""
"145,""TOAST,BISCUIT,BREAKFAST"""
"146,""SHAME,DISGRACE,DISGUST"""
"147,""BEER,FOAM,SUDS"""
"148,""DIVING,DIVE,BOARD"""
"149,""CHAMPION,OVERCOME,CONQUEST,WINNER,QUEST,CONQUER,VICTORY,DEFEAT,TRIUMPH,VICTOR"""
"150,""FRECKLE,PIMPLE,RED"""
"151,""LOAD,HAUL,TRUCK,TOW,UNLOAD"""
"152,""GROCERY,GROCERIES,SUPERMARKET,MARKET"""
"153,""SECRET,DISCREET,PRIVATE,SECRETIVE"""
"154,""WASH,DIRT,CLEAN,BATH"""
"155,""EYES,EYEBALL,EYE,NOSE"""
"156,""FOOD,CHIP,CHIPS,EAT"""
"157,""LECTURE,DISCUSSION,DISCUSS"""
"158,""TALL,STATUE,MONUMENT"""
"159,""BREAKABLE,PORCELAIN,FRAGILE,CHINA,DELICATE"""
"160,""ANGER,MAD,FRUSTRATION"""
"161,""COWGIRL,FARM,COUNTRY,RANCH,FARMER"""
"162,""EGGS,EGG,CRACK"""
"163,""HAY,HAYSTACK,NEEDLE"""
"164,""FEELING,PAIN,HURT"""
"165,""GYMNAST,GYM,GYMNASTICS,WORKOUT,AEROBICS,FITNESS,WEIGHTS,ATHLETE,ACROBAT,EXERCISE"""
"166,""BLUE,JEANS,PANTS"""
"167,""MOB,GANG,FIGHT"""
"168,""ENGINE,OIL,MOTOR"""
"169,""PROTECT,SAFE,SECURITY,PROTECTION"""
"170,""VANILLA,STRAWBERRY,TOPPING,FLAVOR,CHERRY"""
"171,""PLANT,CROPS,AGRICULTURE,PLOW,SOW,HARVEST"""
"172,""INVENTOR,MAKER,CREATOR"""
"173,""PENCIL,PEN,HOLDER"""
"174,""TIGER,LION,CAGE"""
"175,""TRIM,LAWN,CUT,SHEARS,SURGEON,GRASS,MOW,CLIPPERS,MOWER,SCALPEL,SCISSORS,OPERATION,OPERATE,HEDGE,SURGERY"""
"176,""CONFERENCE,MEETING,HALL"""
"177,""WAG,WIGGLE,TAIL"""
"178,""PLAY,CHILDISH,YO-YO,PLAY DOUGH,KID"""
"179,""SCHOOL,BOOK,CLASS"""
"180,""ACCIDENT,CRASH,FALL"""
"181,""COWGIRL,BOOTS,COWBOY"""
"182,""CURRENT,NEW,MODERN,CONTEMPORARY,RECENT"""
"183,""DANCE,PROM,FORMAL"""
"184,""BETTER,WORSE,INFERIOR"""
"185,""ELBOW,HIP,JOINT"""
"186,""ANNOYING,NOISE,LOUD"""
"187,""BREEZEWAY,PORCH,WALKWAY"""
"188,""CARRY,BRING,DELIVER,PICK UP"""
"189,""MOTEL,HOTEL,SEX"""
"190,""ETIQUETTE,MANNER,BEHAVIOR,MANNERS"""
"191,""LAZY,WORTHLESS,USELESS"""
"192,""THINKING,BRAIN,MIND"""
"193,""ODOR,UNPLEASANT,SMELL,FOUL"""
"194,""REPRODUCE,SPAWN,MATE,BREED"""
"195,""GIVE UP,HOPE"""
"196,""CONFIDENT,CONFIDENCE,FRIEND"""
"197,""APART,DETACH,SPLIT,TOGETHER,SEPARATE"""
"198,""MARKER,HIGHLIGHT,BOOK"""
"199,""UNPLEASANT,PAIN,HURT"""
"200,""SHINE,SHINY,CLEAN"""
"201,""CELSIUS,TEMPERATURE,DEGREE"""
"202,""SPONTANEOUS,URGE,COMPULSION,INSTANT,IMPULSE"""
"203,""TROT,WALK,JOG"""
"204,""SATURN,TELESCOPE,UNIVERSE,NEPTUNE,PLUTO,PLANET,METEORITE,ASTEROID,JUPITER,PLANETS,URANUS,MARS,STARS,COMET,VENUS,ASTRONOMY,METEOR,GALAXY,MOON"""
"205,""TARNISH,JEWELRY,GOLD"""
"206,""DESIRE,NEED,CRAVE,WANT"""
"207,""DECORATION,PARTY,DECORATE"""
"208,""MAYBE,NEVER,SOMETIMES"""
"209,""DANDRUFF,FLAKES,FLAKE"""
"210,""NAG,FUSS,COMPLAIN"""
"211,""VISITOR,COMPANY,GUEST"""
"212,""HIGH SCHOOL,TEENAGER"""
"213,""YOU,IDENTIFICATION,IDENTITY"""
"214,""TENDER,STEAK,MEAT"""
"215,""ANGER,JEALOUSY,MAD"""
"216,""GRAPH,STATISTICS,CHART"""
"217,""NEW YEAR,CELEBRATION"""
"218,""BLUEPRINT,ARCHITECT,ARCHITECTURE"""
"219,""WINDING,CURVE,CURVED"""
"220,""FEATHERS,PLUCK,GOOSE,DUCK,QUAIL,FEATHER"""
"221,""HUT,WIGWAM,INDIAN,TEPEE"""
"222,""SPONGE,RAG,DAMP,TOWEL"""
"223,""BEACH,SUNSET,SUNRISE"""
"224,""HOUSE,FRATERNITY,SORORITY"""
"225,""LOYAL,TRUE,FAITHFUL"""
"226,""CHARACTERISTIC,EYES,TRAIT"""
"227,""UPSET,UPTIGHT,ANGRY,MAD,SAD"""
"228,""COVER,MAKE UP"""
"229,""SHINE,POLISH,SHINY"""
"230,""SPECIFIC,EXACT,DETAIL,POINT"""
"231,""ORANGE,TANGY,TANGERINE"""
"232,""ANTIDOTE,COBRA,VENOM,SNAKE,POISON"""
"233,""TOMATO,RADISH,CUCUMBER,GARDEN"""
"234,""DUTY,ASSIGNMENT,TASK,MISSION"""
"235,""FOOD,STRAWBERRY,BLACKBERRY"""
"236,""TWINE,THREAD,YARN"""
"237,""MOB,GANG,PEOPLE"""
"238,""WEIRD,STRANGE,ABNORMAL,IRREGULAR,BEHAVIOR"""
"239,""SORE,SPLINTER,OUCH"""
"240,""RESTRICTION,REGULATION,LAW"""
"241,""MEET,KNOW,INTRODUCE"""
"242,""LOVERS,ROMANTIC,INTIMATE,COUPLE,HONEYMOON,ROMANCE"""
"243,""PAST,TRADITION,HERITAGE"""
"244,""SING,HAPPY,SONG"""
"245,""CHIEF,HEAD,COMMANDER"""
"246,""CAREFUL,CAUTIOUS,WARY"""
"247,""READ,PARAGRAPH,PAGE,EDITORIAL"""
"248,""ADMIRE,AWE,LIKE"""
"249,""CEREMONY,MARRIAGE,WEDDING"""
"250,""WRITE,PENCIL,PEN,MARK,MARKER"""
"251,""MATTER,CHEMISTRY,ATOM,SCIENCE"""
"252,""TEACH,INSTRUCTOR,LESSON,INSTRUCTION"""
"253,""VIOLENCE,RAPE,EVIL"""
"254,""SISTER,LOVE,BROTHER"""
"255,""STEREO,RADIO,TUNE"""
"256,""WAGON,TRAILER,HITCH"""
"257,""TWIN,SISTER,BROTHER"""
"258,""LANE,BOULEVARD,DRIVE,FREEWAY,TRAFFIC,DRIVEWAY,PARKWAY,DROVE,AVENUE,HIGHWAY,INTERSTATE"""
"259,""PAIN,KICK,HURT"""
"260,""PUPPY,DOG,CUDDLE"""
"261,""PROFIT,PROSPER,SUCCEED,GAIN,ACHIEVE"""
"262,""ARGUE,DISAGREE,FIGHT"""
"263,""ATTIRE,FORMAL,WEAR,OUTFIT"""
"264,""MAKE UP,CLOWN"""
"265,""CLAW,LOBSTER,CRAB"""
"266,""PROFESSOR,SCIENTIST,SCIENTIFIC,THEORY"""
"267,""CRITICIZE,RIDICULE,INSULT,OFFEND,PUT DOWN,COMPLIMENT"""
"268,""TIGER,LION,JUNGLE"""
"269,""TYPEWRITER,TYPIST,TYPE,RECEPTIONIST,SECRETARY"""
"270,""GAS,BEAN,BEANS"""
"271,""SHARP,PAIN,HURT"""
"272,""FAVOR,PREFER,PREFERENCE"""
"273,""PRESSURE,CLEAN,WASH"""
"274,""LOGIC,SENSE,RATIONALIZE"""
"275,""TUMOR,HEART ATTACK,HOSPITAL,TRAUMA,CANCER"""
"276,""ELECTRICITY,TECHNICIAN,ELECTRICIAN,OUTLET"""
"277,""SAD,BEGGAR,HOMELESS,BUM"""
"278,""FLUTE,TUBA,GUITAR,PLAYER,SAXOPHONE,TROMBONE,PIANO,BANJO,TRUMPET"""
"279,""WEB,COBWEB,STICKY"""
"280,""ROAM,AROUND,WANDER"""
"281,""DRAWER,CABINET,FILE,DESK"""
"282,""GOD,GRACE,CHURCH"""
"283,""HOT DOGS,COLESLAW"""
"284,""PERCH,CROW,ROOST,CHICK,HEN,SCARECROW,BIRD"""
"285,""HELICOPTER,NOISE,LOUD"""
"286,""MEMORIES,HIGH SCHOOL"""
"287,""MEMBER,GROUP,FRATERNITY"""
"288,""PROTECT,PROTECTION,SAFETY,SECURE"""
"289,""CHISEL,SCULPTURE,ARTIST"""
"290,""IMITATE,MONKEY,APE"""
"291,""SLEEP,BED,BEDROOM"""
"292,""MONEY,INFLATION,RAISE"""
"293,""BOY,MATE,PARTNER,FELLOW"""
"294,""FILTHY,RICH,BEGGAR"""
"295,""STOP,GIVE UP"""
"296,""POTTERY,ART,CERAMIC,VASE,CRAFTS,CERAMICS"""
"297,""PAPER TOWEL,BOUNTY"""
"298,""CLAW,CAT,PAW"""
"299,""BRICK,FIREPLACE,CHIMNEY"""
"300,""RELIGION,RETREAT,CHURCH"""
"301,""NOT,RELIABLE,RESPONSIBLE"""
"302,""MISTREAT,RUDE,MEAN"""
"303,""SUBTLE,DISCREET,OBVIOUS"""
"304,""GIVE UP,YIELD"""
"305,""YUMMY,RECIPE,CHEF,MIX,PUDDING,DOUGHNUT,BAKE,BLUEBERRY,JELLO,FLOUR,PLUM,PIE,COBBLER,CAKE,DOUGH,CHERRY,CRUMB,PEACH,BAKER,BAGEL,PASTRY,SHORTCAKE,BAKED,MIXTURE,BLACKBERRY,DESSERT,RASPBERRY,CUSTARD"""
"306,""CALCULUS,SQUARE,TRIANGLE,ALGEBRA,GEOMETRY,ARITHMETIC,TANGENT,RECTANGLE,ANGLE,TRIGONOMETRY,MATH"""
"307,""FIN,FINISH,DONE"""
"308,""FAINT,PASS OUT"""
"309,""COP,SHERIFF,DEPUTY,COLONEL,RANK,SOLDIER,LAWFUL,MARINES,COMMANDER,MARINE,POLICE,ARMY,GENERAL,MILITARY,UNLAWFUL,POLICEMAN,HANDCUFFS,LEGAL,CHIEF,OFFICER,NAVY,BADGE,CORPORAL,LIEUTENANT,VIOLATION,AIR FORCE,ARREST,SERGEANT,CAPTAIN"""
"310,""NEWTON,PHYSICS,INERTIA,LAW"""
"311,""BEAUTIFUL,EUROPE,PRETTY"""
"312,""WINNER,RIBBON,AWARD,PRIZE"""
"313,""PRECIPICE,LEDGE,CLIFF"""
"314,""HOUSE,OWN,RENT,MORTGAGE,LEASE"""
"315,""GLASS,ORANGE JUICE,JUICE"""
"316,""DIVISION,COMPUTE,DIVIDE,FIGURE,EQUATION,FACTOR,SOLUTION,CALCULATE,SOLVE,LOGIC,MULTIPLY,FORMULA,CALCULATOR,MATH,QUOTIENT"""
"317,""BARBECUE,GRILL,HAMBURGER,COOKOUT"""
"318,""GIRL,WOMAN,MERMAID"""
"319,""HYPNOTIZE,SLEEP,TRANCE"""
"320,""HOT,BUN,CINNAMON"""
"321,""MESS,MESSY,DISORDER"""
"322,""CORD,ROPE,STRING"""
"323,""BODY,SKINNY,THIN,SLENDER"""
"324,""ADMIRE,FAITH,WORSHIP,PRAISE,LORD"""
"325,""BLOSSOM,OPEN,BLOOM"""
"326,""STEAL,TAKE,THIEF"""
"327,""FILTH,DIRT,GRIME,SLIME,MUCK,SCUM"""
"328,""ADMIRE,FOND,LIKE"""
"329,""SCHOOL,INSTRUCTION,LESSON,CLASS"""
"330,""PORCUPINE,THORN,PRICKLY,BRISTLE"""
"331,""POTTERY,FLOWERS,VASE"""
"332,""MYSTERY,MURDER,SUSPENSE"""
"333,""OBLIGATION,PROMISE,COMMITMENT"""
"334,""FURY,FURRY,ANIMAL"""
"335,""MONEY,ECONOMIC,BUDGET,ECONOMY"""
"336,""CHILI,HOT DOGS"""
"337,""HONEY,SAP,MOLASSES,SYRUP,MAPLE"""
"338,""TEA,LEMONADE,ICE"""
"339,""NOTHING,EVERYTHING,SOMETHING,ANYTHING"""
"340,""DRAMA,PERFORMANCE,ART"""
"341,""CONTROL,CONFIDENT,CONFIDENCE"""
"342,""TWELVE,NOON,HOUR"""
"343,""DRIVE,HIGHWAY,PASS"""
"344,""GAVEL,GRAVEL,ROCKS"""
"345,""SCHOOL,CLASS,SCHEDULE"""
"346,""MYSTERY,FRIGHT,MOVIE,HORROR,SUSPENSE,TERROR"""
"347,""SANDWICH,ICE CREAM"""
"348,""DEVICE,COMPONENT,ELECTRIC"""
"349,""LIE,COMPULSION,LIAR"""
"350,""WORK,REST,RELAX"""
"351,""BIOLOGY,PHYSICS,SCIENTIFIC,LAB"""
"352,""VOCABULARY,DICTIONARY,DEFINE"""
"353,""DYNAMITE,EXPLOSION,DANGER"""
"354,""THIMBLE,SPLINTER,PRICK,FINGER,SLIVER"""
"355,""HUMID,DAMP,DEW,MOIST,WET,MIST"""
"356,""EXPRESSION,ART,IMPRESSION"""
"357,""SYNOPSIS,SUMMARY,CONCLUSION"""
"358,""GRANDPARENTS,GRANDPA,LOVE,GRANDMA"""
"359,""SERVANT,HOUSE,MAID"""
"360,""LIAR,JERK,UNTRUTHFUL"""
"361,""SKELETON,SKULL,POISON"""
"362,""CHECKING,ACCOUNT,CHECKBOOK,BANK"""
"363,""DECIDE,DETERMINE,CONCLUDE"""
"364,""BISCUIT,SAUSAGE,HAM"""
"365,""WASTED,TRASH,GARBAGE,DUMP"""
"366,""PEPSI,COKE,CAN,TAB,SODA,SOFT DRINK"""
"367,""SQUIRREL,CHIPMUNK,TREE,WALNUT,POSSUM,ACORN"""
"368,""PRAY,FAITH,BLESSING,HOPE,PRAYER"""
"369,""TYPIST,TYPEWRITER,RECEPTIONIST,OFFICE,SECRETARY"""
"370,""MONKEY,PRIMATE,HUMAN,CHIMPANZEE,ANIMAL,APE"""
"371,""FLY,GOOSE,GEESE"""
"372,""PROVIDENCE,REGION,LAND"""
"373,""ANGLE,GEOMETRY,CURVE,TANGENT,CURVED,LINE"""
"374,""NAIVE,GULLIBLE,VIRGIN,IGNORANT,VULNERABLE,INNOCENT,INNOCENCE,UNAWARE"""
"375,""BABY,SMALL,CHILD"""
"376,""DIFFERENCE,SUBTRACT,MINUS"""
"377,""ASK,REQUEST,WANT"""
"378,""HOW,WHY,WONDER"""
"379,""CAR,RAILROAD,CABOOSE"""
"380,""CLAW,ANIMAL,PAW"""
"381,""DISCOMFORT,CRAMP,PERIOD"""
"382,""BRILLIANT,GIFTED,BRIGHT,STUPID,DUMB,RETARDED,INTELLIGENT,SMART"""
"383,""FARM,PLOW,LAND,AGRICULTURE,FARMER"""
"384,""HAMBURGER,MEAT,BEEF"""
"385,""SHAVE,MAN,MUSTACHE,BEARD"""
"386,""ALL,SOME,NONE"""
"387,""TRUST,HONESTY,LOYALTY"""
"388,""JUNK,WORTHLESS,USELESS"""
"389,""COP,POLICE,CUFF"""
"390,""IMAGE,MIRROR,MIRAGE"""
"391,""INSECURE,AFRAID,TIMID,SCARED"""
"392,""POSITIVE,SURE,UNSURE,CERTAIN"""
"393,""GO,ADVANCE,FORWARD,AHEAD"""
"394,""DRIFT,SEA,OCEAN"""
"395,""GRASP,GRIP,ARM"""
"396,""CONCEIT,DECEIT,DECEIVE"""
"397,""BEAUTIFUL,APPEARANCE,LOOKS,PRETTY"""
"398,""LOAD,WORK,UNLOAD"""
"399,""TUNNEL,HALLWAY,CAVE,PASSAGE"""
"400,""FOOD,SURVIVE,EAT"""
"401,""SLIPPERY,SLICK,FALL"""
"402,""LIVER,ORGAN,TRANSPLANT"""
"403,""RODENT,POSSUM,SQUIRREL,RACCOON"""
"404,""GROSS,NASTY,FILTH"""
"405,""ELECTRICIAN,WORK,SCREWDRIVER,WRENCH,MECHANICAL,TECHNICIAN,PLIERS,TOOLS"""
"406,""CURRENT,NOW,CONTEMPORARY,MODERN,RECENT"""
"407,""WATER,FLOOD,TYPHOON,HURRICANE,DAM"""
"408,""FLAG,GLORY,USA"""
"409,""SING,BIRDS,SONG"""
"410,""DEATH,PERISH,DECAY,DIE,DEAD,DISINTEGRATE,ROT,DECOMPOSE,DETERIORATE"""
"411,""THOUGHT,CONCEPT,IDEA"""
"412,""TAXI,PASSENGER,RIDE,CAB,BUS"""
"413,""ENOUGH,FINISH,DONE"""
"414,""CAKE,PIE,PIECES"""
"415,""HOME,GUEST,VISITOR"""
"416,""DELAY,HESITATE,STALL,PAUSE,WAIT"""
"417,""PRISONER,CAPTIVE,WAR"""
"418,""FOOD,FRUIT,APPLE,EAT"""
"419,""MIXTURE,JOIN,MIX,COMBINE,INTEGRATE,BLEND,BLENDER"""
"420,""BEAUTIFUL,FLOWER,PRETTY"""
"421,""ABUNDANCE,LITTLE,LESS,LOTS,SOME,LEAST,MOST,ENOUGH,MUCH,MINIMUM,SCARCITY,SCARCE,FEW"""
"422,""BLANKET,WARM,QUILT"""
"423,""GROSS,COLESLAW,SEAFOOD,PEAS,ESCARGOT,BROCCOLI,CAULIFLOWER,SQUID,CABBAGE,SAUSAGE,YUCK,SPINACH,BOLOGNA,SQUASH,CORNBEEF,UNCOOKED,VEGETABLES,DISGUSTING,BEET,TURNIP,MAYONNAISE,NASTY,ZUCCHINI"""
"424,""COMA,PUNCTUATION,GRAMMAR,PERIOD,ENGLISH"""
"425,""BROKEN,PRINTER,COPIER"""
"426,""BIBLE,MARY,JESUS"""
"427,""DIE,DEATH,KILL,DEAD"""
"428,""LIMP,INJURY,CRUTCH"""
"429,""TIGER,LION,LEO"""
"430,""FAITHFUL,HUSBAND,LOVING"""
"431,""FLOW,FLUID,LIQUID"""
"432,""CRITICISM,BAD,INSULT"""
"433,""COPPER,MEDAL,SILVER,BRONZE"""
"434,""ILLNESS,HEALTH,CONDITION"""
"435,""HUGE,WIDE,BIG,LARGE,BROAD,VAST"""
"436,""ROAR,HOOT,SHOUT,HOLLER,YELL,SCREAM"""
"437,""QUART,BEER,PINT"""
"438,""GOLD,CHEAP,COST,PRICELESS,BRACELET,SAPPHIRE,NECKLACE,GEM,JEWELRY,JEWEL,VALUABLE,CRYSTAL,VALUE,BEAD,PRECIOUS,EXPENSE,RUBY,WORTH,DIAMOND,PEARL,PRICE,EARRING,EMERALD"""
"439,""BODY,BUILDER,BUILD"""
"440,""FREEWAY,SPEED,DRIVE,HIGHWAY"""
"441,""AID,HOSPITAL,NURSE"""
"442,""STRAW,SLURP,SIP"""
"443,""FOOD,BROTH,BOUILLON"""
"444,""TOAST,GARLIC,BREAD"""
"445,""THOUGHT,ABSTRACT,IDEA,THINK"""
"446,""CHEEK,LIP,FAT"""
"447,""SLOW,CAUTION,YIELD,CAUTIOUS"""
"448,""VIOLENCE,LOS ANGELES"""
"449,""BINDER,HOLD,FOLDER"""
"450,""WELCOME,COME,STAY"""
"451,""ESSAY,PUBLISHER,OUTLINE,READ,JOURNAL,WRITER,MAGAZINE,DAILY,SUMMARY,NEWSSTAND,PARAGRAPH,EDITOR,PAPER,NEWSPAPER,NEWS,WEEKLY,PUBLICATION"""
